CC_ID,System_Name,Department,Priority,Status,Change_Type,Initiator,Approval_Date,Implementation_Date
CC-2025-001,QMS,QA,High,Open,Equipment,A Patel,2025-01-01,2025-01-15
CC-2025-002,eBMR,QA,High,In Progress,Equipment,M Parmar,2025-01-04,2025-01-20
CC-2025-003,MES,Production,Critical,Open,Process,C Chaudhari,2025-01-07,2025-01-29
CC-2025-004,TrackWise,IT,High,In Progress,System,R Shah,2025-01-10,2025-01-28
CC-2025-005,QMS,Warehouse,Medium,In Progress,Equipment,P Modi,2025-01-13,2025-02-12
CC-2025-006,MES,QA,Low,In Progress,Process,C Chaudhari,2025-01-16,2025-02-14
CC-2025-007,DMS,QC,Low,Open,System,M Parmar,2025-01-19,2025-02-06
CC-2025-008,TrackWise,Production,Medium,Closed,Process,M Parmar,2025-01-22,2025-02-21
CC-2025-009,SAP,Production,Critical,Implemented,Documentation,K Raman,2025-01-25,2025-02-12
CC-2025-010,ERP,Warehouse,Critical,Open,Documentation,A Patel,2025-01-28,2025-02-12
CC-2025-011,LIMS,Engineering,Low,Implemented,System,M Parmar,2025-01-31,2025-02-01
CC-2025-012,eBMR,Warehouse,Medium,In Progress,System,P Modi,2025-02-03,2025-02-21
CC-2025-013,ERP,Engineering,Medium,Implemented,Equipment,P Modi,2025-02-06,2025-02-25
CC-2025-014,TrackWise,QC,Critical,Implemented,Documentation,K Raman,2025-02-09,2025-03-05
CC-2025-015,ERP,Production,High,Implemented,Process,M Parmar,2025-02-12,2025-02-18
CC-2025-016,TrackWise,Engineering,Medium,Implemented,System,M Parmar,2025-02-15,2025-03-10
CC-2025-017,SAP,Engineering,Low,In Progress,Process,M Parmar,2025-02-18,2025-02-23
CC-2025-018,MES,Warehouse,High,Closed,Process,P Modi,2025-02-21,2025-03-06
CC-2025-019,DMS,IT,Medium,Approved,System,P Modi,2025-02-24,2025-03-19
CC-2025-020,TrackWise,QC,Medium,Implemented,Process,M Parmar,2025-02-27,2025-03-14
CC-2025-021,MES,QC,Low,Open,Process,C Chaudhari,2025-03-02,2025-03-23
CC-2025-022,TrackWise,QC,Low,In Progress,Equipment,R Shah,2025-03-05,2025-03-19
CC-2025-023,TrackWise,QC,Critical,Open,Equipment,P Modi,2025-03-08,2025-04-04
CC-2025-024,DMS,QA,High,Approved,System,M Parmar,2025-03-11,2025-03-29
CC-2025-025,LIMS,Engineering,Medium,In Progress,Equipment,R Shah,2025-03-14,2025-03-31
CC-2025-026,QMS,QA,Critical,Closed,Process,C Chaudhari,2025-03-17,2025-04-08
CC-2025-027,TrackWise,QC,Low,Closed,System,C Chaudhari,2025-03-20,2025-03-22
CC-2025-028,MES,QA,Critical,In Progress,Process,A Patel,2025-03-23,2025-04-10
CC-2025-029,LIMS,QA,Medium,Closed,System,A Patel,2025-03-26,2025-04-21
CC-2025-030,LIMS,QA,Low,In Progress,System,P Modi,2025-03-29,2025-04-03
CC-2025-031,TrackWise,Engineering,Critical,Implemented,Documentation,R Shah,2025-04-01,2025-04-03
CC-2025-032,MES,Engineering,Low,Open,Documentation,R Shah,2025-04-04,2025-04-30
CC-2025-033,TrackWise,Engineering,Critical,In Progress,Documentation,P Modi,2025-04-07,2025-05-04
CC-2025-034,MES,QA,Low,Approved,System,C Chaudhari,2025-04-10,2025-04-14
CC-2025-035,TrackWise,Production,High,Approved,Documentation,A Patel,2025-04-13,2025-04-21
CC-2025-036,ERP,IT,Critical,Approved,Documentation,K Raman,2025-04-16,2025-04-22
CC-2025-037,ERP,Engineering,Medium,Implemented,Documentation,M Parmar,2025-04-19,2025-04-21
CC-2025-038,eBMR,IT,Low,Implemented,Process,C Chaudhari,2025-04-22,2025-05-04
