CAPA_ID,Department,CAPA_Type,Root_Cause,Status,Target_Date,Completion_Date,Owner
CAPA001,Manufacturing,Corrective,Process Deviation,Open,2025-05-09,,User5
CAPA002,QA,Preventive,Documentation Error,Closed,2025-04-29,2025-05-13,User1
CAPA003,IT,Corrective,Process Deviation,Open,2025-04-20,,User18
CAPA004,IT,Preventive,Documentation Error,Open,2026-03-20,,User6
CAPA005,QC,Corrective,System Failure,In Progress,2026-03-23,,User4
CAPA006,Manufacturing,Preventive,Equipment Failure,In Progress,2025-04-19,,User2
CAPA007,Engineering,Corrective,Equipment Failure,In Progress,2026-04-30,,User20
CAPA008,Warehouse,Corrective,Documentation Error,In Progress,2026-01-20,,User8
CAPA009,QA,Preventive,Equipment Failure,Closed,2025-11-07,2025-11-01,User15
CAPA010,Manufacturing,Corrective,Equipment Failure,Open,2026-01-23,,User3
CAPA011,QC,Corrective,Data Integrity Issue,In Progress,2025-07-09,,User13
CAPA012,Warehouse,Corrective,System Failure,Closed,2025-10-18,2025-11-07,User2
CAPA013,Engineering,Preventive,Training Gap,Closed,2025-09-06,2025-09-06,User7
CAPA014,Engineering,Preventive,Data Integrity Issue,Open,2025-12-03,,User5
CAPA015,Warehouse,Preventive,Missing Procedure,Open,2025-10-13,,User19
CAPA016,QC,Preventive,Training Gap,In Progress,2026-02-27,,User2
CAPA017,QC,Preventive,Training Gap,Open,2025-05-07,,User13
CAPA018,Engineering,Preventive,Documentation Error,In Progress,2026-02-09,,User4
CAPA019,QA,Preventive,Missing Procedure,Closed,2025-10-15,2025-10-16,User6
CAPA020,Warehouse,Preventive,Human Error,Open,2026-04-24,,User17
CAPA021,Warehouse,Corrective,Human Error,Closed,2025-05-03,2025-05-02,User12
CAPA022,IT,Corrective,System Failure,In Progress,2025-06-29,,User16
CAPA023,Manufacturing,Preventive,Process Deviation,Open,2025-02-03,,User2
CAPA024,QA,Preventive,Training Gap,Closed,2025-09-18,2025-09-03,User18
CAPA025,Engineering,Corrective,Equipment Failure,Open,2025-05-23,,User17
CAPA026,Warehouse,Corrective,Equipment Failure,Closed,2026-03-24,2026-04-07,User13
CAPA027,IT,Preventive,Training Gap,In Progress,2026-02-01,,User8
CAPA028,QA,Corrective,Process Deviation,Open,2025-09-02,,User1
CAPA029,QC,Corrective,Documentation Error,Closed,2025-03-28,2025-03-11,User11
CAPA030,Manufacturing,Preventive,Process Deviation,In Progress,2025-03-28,,User18
CAPA031,IT,Preventive,Process Deviation,Closed,2025-05-30,2025-06-15,User16
CAPA032,QA,Preventive,System Failure,Open,2026-03-07,,User14
CAPA033,Warehouse,Corrective,Training Gap,In Progress,2026-03-11,,User2
CAPA034,QC,Corrective,Process Deviation,Closed,2026-03-03,2026-02-17,User18
CAPA035,QC,Preventive,Data Integrity Issue,Open,2026-04-19,,User8
CAPA036,IT,Corrective,Documentation Error,In Progress,2025-04-02,,User18
